Year,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Category,Topic,Indicator,Break_Out_Category,Break_Out,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Confidence_limit_Low,Confidence_limit_High,CategoryId,TopicId,IndicatorID,BreakOutCategoryId,BreakOutId,LocationID,GeoLocation
2001-2002,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Other,Percentage,%,29.9,,,21.7,39.6,C2,T9,NH020,BOC04,RAC07,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,C2,T9,NH020,BOC03,AGE01,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,25-44,Percentage,%,12.4,,,10.7,14.4,C2,T9,NH020,BOC03,AGE04,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,45-64,Percentage,%,42.7,,,38.3,47.3,C2,T9,NH020,BOC03,AGE05,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,65+,Percentage,%,70.1,,,65.8,74.1,C2,T9,NH020,BOC03,AGE06,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,35+,Percentage,%,41.7,,,38.4,45,C2,T9,NH020,BOC03,AGE07,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,75+,Percentage,%,74.2,,,68.7,78.9,C2,T9,NH020,BOC03,AGE08,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Gender,Male,Percentage,%,32,,,29,35.1,C2,T9,NH020,BOC02,GEN01,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Gender,Female,Percentage,%,30.5,,,28.2,32.9,C2,T9,NH020,BOC02,GEN02,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Overall,Overall,Percentage,%,31.4,,,29.2,33.6,C2,T9,NH020,BOC01,OVR01,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,30.3,,,27.7,33,C2,T9,NH020,BOC04,RAC01,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,41.5,,,38.1,45.1,C2,T9,NH020,BOC04,RAC02,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,,-,Data not available,,,C2,T9,NH020,BOC04,RAC03,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Hispanic,Percentage,%,29.2,,,26,32.6,C2,T9,NH020,BOC04,RAC04,00,
2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Other,Percentage,%,32.2,,,25.2,40.2,C2,T9,NH020,BOC04,RAC07,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,18-24,Percentage,%,4.3,,,2.5,7.2,C2,T9,NH020,BOC03,AGE01,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,25-44,Percentage,%,11.7,,,9.3,14.7,C2,T9,NH020,BOC03,AGE04,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,45-64,Percentage,%,39.8,,,35.8,43.9,C2,T9,NH020,BOC03,AGE05,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,65+,Percentage,%,68.9,,,66.7,71.1,C2,T9,NH020,BOC03,AGE06,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,35+,Percentage,%,39.9,,,36.9,42.9,C2,T9,NH020,BOC03,AGE07,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,75+,Percentage,%,71.8,,,69.1,74.3,C2,T9,NH020,BOC03,AGE08,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Gender,Male,Percentage,%,31.1,,,28.5,33.9,C2,T9,NH020,BOC02,GEN01,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Gender,Female,Percentage,%,29.7,,,28.1,31.3,C2,T9,NH020,BOC02,GEN02,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Overall,Overall,Percentage,%,30.6,,,28.8,32.5,C2,T9,NH020,BOC01,OVR01,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,29.4,,,27.3,31.7,C2,T9,NH020,BOC04,RAC01,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,42.8,,,39.8,45.9,C2,T9,NH020,BOC04,RAC02,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,,-,Data not available,,,C2,T9,NH020,BOC04,RAC03,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Hispanic,Percentage,%,23.2,,,20.6,26,C2,T9,NH020,BOC04,RAC04,00,
2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Other,Percentage,%,31.1,,,24.7,38.3,C2,T9,NH020,BOC04,RAC07,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,18-24,Percentage,%,2.8,,,1.9,4.2,C2,T9,NH020,BOC03,AGE01,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,25-44,Percentage,%,13.2,,,11.5,15.2,C2,T9,NH020,BOC03,AGE04,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,45-64,Percentage,%,39.8,,,37.3,42.3,C2,T9,NH020,BOC03,AGE05,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,65+,Percentage,%,70.2,,,65.1,74.8,C2,T9,NH020,BOC03,AGE06,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,35+,Percentage,%,41.2,,,39.3,43.2,C2,T9,NH020,BOC03,AGE07,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,75+,Percentage,%,76.1,,,73,78.9,C2,T9,NH020,BOC03,AGE08,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Gender,Male,Percentage,%,31.4,,,30,32.9,C2,T9,NH020,BOC02,GEN01,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Gender,Female,Percentage,%,30.5,,,28.9,32.2,C2,T9,NH020,BOC02,GEN02,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Overall,Overall,Percentage,%,31.1,,,29.8,32.4,C2,T9,NH020,BOC01,OVR01,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,30.4,,,28.5,32.4,C2,T9,NH020,BOC04,RAC01,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,42.2,,,38.9,45.5,C2,T9,NH020,BOC04,RAC02,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,,-,Data not available,,,C2,T9,NH020,BOC04,RAC03,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Hispanic,Percentage,%,28.2,,,24.8,31.9,C2,T9,NH020,BOC04,RAC04,00,
2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Other,Percentage,%,24.3,,,20.7,28.4,C2,T9,NH020,BOC04,RAC07,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,C2,T9,NH020,BOC03,AGE01,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,25-44,Percentage,%,10.7,,,9.5,12.1,C2,T9,NH020,BOC03,AGE04,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,45-64,Percentage,%,39.5,,,35.2,44,C2,T9,NH020,BOC03,AGE05,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,65+,Percentage,%,71.3,,,67.6,74.7,C2,T9,NH020,BOC03,AGE06,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,35+,Percentage,%,41,,,37.5,44.5,C2,T9,NH020,BOC03,AGE07,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,75+,Percentage,%,76.9,,,73.4,80.1,C2,T9,NH020,BOC03,AGE08,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Gender,Male,Percentage,%,30.8,,,28.2,33.5,C2,T9,NH020,BOC02,GEN01,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Gender,Female,Percentage,%,29.1,,,27.3,31,C2,T9,NH020,BOC02,GEN02,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Overall,Overall,Percentage,%,30,,,28.2,31.9,C2,T9,NH020,BOC01,OVR01,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,28.8,,,26.4,31.4,C2,T9,NH020,BOC04,RAC01,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,42.2,,,38.9,45.6,C2,T9,NH020,BOC04,RAC02,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,,-,Data not available,,,C2,T9,NH020,BOC04,RAC03,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Hispanic,Percentage,%,27.8,,,25.8,30,C2,T9,NH020,BOC04,RAC04,00,
2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Other,Percentage,%,31.3,,,26.8,36.2,C2,T9,NH020,BOC04,RAC07,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,18-24,Percentage,%,,~,Statistically unstable estimates not presented [unstable by NCHS standards: (standard error/estimate>0.30)],,,C2,T9,NH020,BOC03,AGE01,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,25-44,Percentage,%,12.6,,,10.1,15.5,C2,T9,NH020,BOC03,AGE04,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,45-64,Percentage,%,40.6,,,37.6,43.7,C2,T9,NH020,BOC03,AGE05,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,65+,Percentage,%,67.3,,,63.5,71,C2,T9,NH020,BOC03,AGE06,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,35+,Percentage,%,41.9,,,39.4,44.5,C2,T9,NH020,BOC03,AGE07,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,75+,Percentage,%,77,,,73.9,79.9,C2,T9,NH020,BOC03,AGE08,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Gender,Male,Percentage,%,30.8,,,28.7,33.1,C2,T9,NH020,BOC02,GEN01,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Gender,Female,Percentage,%,29.5,,,27.9,31.3,C2,T9,NH020,BOC02,GEN02,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Overall,Overall,Percentage,%,30.2,,,28.8,31.7,C2,T9,NH020,BOC01,OVR01,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic White,Percentage,%,29,,,27.4,30.7,C2,T9,NH020,BOC04,RAC01,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic Black,Percentage,%,43.4,,,41.7,45.2,C2,T9,NH020,BOC04,RAC02,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Non-Hispanic Asian,Percentage,%,25.5,,,22.4,28.9,C2,T9,NH020,BOC04,RAC03,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Hispanic,Percentage,%,26.8,,,22,32.3,C2,T9,NH020,BOC04,RAC04,00,
2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Race,Other,Percentage,%,27.1,,,23.9,30.5,C2,T9,NH020,BOC04,RAC07,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,18-24,Percentage,%,2.5,,,1.5,4,C2,T9,NH020,BOC03,AGE01,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,25-44,Percentage,%,12.9,,,11,15.1,C2,T9,NH020,BOC03,AGE04,00,
2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+) (Percentage); NHANES,Age,45-64,Percentage,%,41.2,,,38.2,44.2,C2,T9,NH020,BOC03,AGE05,00,
